Datetime,NSW,QLD,SA,VIC
2030-01-01 00:00:00,8190.434918725719,7453.563446798349,1985.1883983386638,5019.351444731975
2030-01-01 01:00:00,7741.663919491102,7130.264820927405,2033.5407034622203,4725.67927289575
2030-01-01 02:00:00,7285.926761871938,6838.325415437983,1911.4481372466375,4365.8240166131745
2030-01-01 03:00:00,7027.147027845209,6622.307577124353,1842.9956540987569,4204.988155430425
2030-01-01 04:00:00,6964.6328541164585,6554.416606259796,1792.5538676719814,4174.996993452685
2030-01-01 05:00:00,6915.831820689142,6432.293256915449,1769.340384197276,4165.845044955035
2030-01-01 06:00:00,6413.3953097346275,5984.285827969679,1726.2252794752649,4168.865572789755
2030-01-01 07:00:00,5399.945312650196,5087.667923520385,1685.9931487418435,4168.30179548546
2030-01-01 08:00:00,4704.657729121556,4233.950019599784,1658.4178616705008,4290.562040895845
2030-01-01 09:00:00,4195.310942901245,3372.940946972599,1485.3563966473366,4414.085629113275
2030-01-01 10:00:00,3557.8033435100283,2604.719550845726,1572.2561763588492,4307.019123031079
2030-01-01 11:00:00,3276.279809167064,2584.093150644932,1588.696988082751,4146.91494412436
2030-01-01 12:00:00,3770.586323052411,2561.2622476899187,1789.6244568020163,4449.416307813155
2030-01-01 13:00:00,4993.783220428168,2677.7942140695686,1562.603111302061,4455.58968731335
2030-01-01 14:00:00,5817.327619056073,2830.206405689296,1721.4525328650798,4652.196684714455
2030-01-01 15:00:00,7355.950976575788,3863.302434665616,1750.7764300589888,4832.374152806365
2030-01-01 16:00:00,8203.106644593434,5223.697656776905,1972.2978656453197,5041.97095113028
2030-01-01 17:00:00,8724.335218558608,6757.279725186147,2093.713885563822,5280.05965235759
2030-01-01 18:00:00,8928.565013845346,7887.38540571876,2128.4589389567172,5236.373440281385
2030-01-01 19:00:00,9087.699934139193,8254.189479938752,2066.6780394473544,5194.912993301745
2030-01-01 20:00:00,9126.820907572896,8246.07115547801,2058.187057468358,5186.679100260735
2030-01-01 21:00:00,8916.719277448812,8134.103142362528,2015.1895565351274,5026.9822212116
2030-01-01 22:00:00,8780.45188870692,7949.495430959902,1905.8865019086356,4763.174105898524
2030-01-01 23:00:00,8523.889370581866,7610.741630118161,1857.9921359620005,4870.88132841203
2030-01-02 00:00:00,8216.41566503136,7305.109121947462,1850.5645943681739,5038.323910223525
2030-01-02 01:00:00,7813.412518597695,7002.694060998413,1752.358813296857,4860.11326618941
2030-01-02 02:00:00,7324.084614250516,6702.998085729978,1574.0470292853674,4511.616985747265
2030-01-02 03:00:00,7134.596303099752,6588.840881685238,1506.8866756756497,4298.176560706985
2030-01-02 04:00:00,7224.312964497647,6576.371222992117,1478.4911787151364,4302.387924205955
2030-01-02 05:00:00,7619.921326393197,6627.32343097089,1518.5402253835082,4575.140802228625
2030-01-02 06:00:00,7948.8600570160925,6602.9966462602515,1576.8877767722342,4849.82398582598
2030-01-02 07:00:00,7758.242397929024,6376.0488865274765,1488.384159781184,4272.07275582883
2030-01-02 08:00:00,7147.975060711492,6103.041862931015,957.4089771247343,3038.538938247315
2030-01-02 09:00:00,6474.174557238139,5303.511161896471,359.6261142484899,1761.8638405147549
2030-01-02 10:00:00,6047.803430353659,4829.548288163955,-75.43502681949953,768.029366741399
2030-01-02 11:00:00,6139.629008114638,4670.004921818247,-173.9533082195502,312.84137355933296
2030-01-02 12:00:00,6149.021497812395,4597.964534636854,-152.54133847334987,252.947310226476
2030-01-02 13:00:00,6078.445324206286,4797.945141223961,-147.75204402672617,356.08656336047704
2030-01-02 14:00:00,6299.390208651888,5251.248251483266,-192.50145426226229,560.2021269814604
